po_id,created_at,supplier_id,part_id,quantity,unit_price,total,status,gate_triggered,reasoning_log
PO-2025-001,2025-05-02T09:14:00,SUP-002,PART-001,50,289.00,14450.00,pending_approval,G1,"WHAT: Selected PrecisionSource. WHY: Highest reliability (0.95), meets 36hr deadline. NEXT: G1 fired — total €14450 exceeds threshold, Jenny notified for approval."
PO-2025-002,2025-05-08T13:45:00,SUP-001,PART-002,30,247.00,7410.00,delivered,,"WHAT: Selected AccuParts Corp. WHY: Competitive price, reliability 0.88, 2-day delivery. NEXT: Delivered on time — invoice matched and cleared."
PO-2025-003,2025-05-14T10:20:00,SUP-004,PART-005,20,198.00,3960.00,rejected,G2,"WHAT: Attempted FastParts GmbH. WHY: Lowest unit price (€198). NEXT: G2 fired — supplier not approved. Human rejected; Betsy re-evaluating approved suppliers."
PO-2025-004,2025-05-20T08:00:00,SUP-006,PART-004,40,265.00,10600.00,pending,,"WHAT: Selected ReliableParts BV. WHY: Approved, reliability 0.90, price within variance. NEXT: PO sent, awaiting delivery."
PO-2025-005,2025-05-25T15:30:00,SUP-003,PART-006,25,231.00,5775.00,pending,,"WHAT: Selected QuickMachine. WHY: Lowest compliant price, 3-day delivery acceptable. NEXT: PO dispatched, delivery expected 2025-05-28."
PO-2025-006,2025-05-01T07:30:00,SUP-007,PART-009,100,58.39,5839.00,delivered,,"WHAT: Selected Alpha_Inc. WHY: Approved, price stable vs last (€53.65→€58.39 within threshold). NEXT: Delivered, invoice pending match."
PO-2025-007,2025-05-03T14:00:00,SUP-008,PART-011,200,58.28,11656.00,pending_approval,G1,"WHAT: Selected Beta_Supplies. WHY: Only approved supplier for PART-011 in stock window. NEXT: G1 fired — total €11656 exceeds threshold, awaiting approval."
PO-2025-008,2025-05-10T09:00:00,SUP-009,PART-012,300,56.24,16872.00,pending,,"WHAT: Selected Delta_Logistics. WHY: Approved, lowest price for PART-012, 4-day delivery acceptable. NEXT: PO sent to supplier."
PO-2025-009,2025-05-12T11:15:00,SUP-010,PART-013,150,59.39,8908.50,delivered,,"WHAT: Selected Epsilon_Group. WHY: Reliability 0.72, only qualified supplier in time window. NEXT: Delivered on time, cleared."
PO-2025-010,2025-05-15T16:45:00,SUP-011,PART-010,80,59.35,4748.00,delivered,,"WHAT: Selected Gamma_Co. WHY: 3-day delivery, price stable. NEXT: Delivered, invoice matched."
PO-2025-011,2025-05-17T08:30:00,SUP-012,PART-014,60,74.50,4470.00,pending,,"WHAT: Selected NordTech Supplies. WHY: Reliability 0.85, delivery 2 days fits production gap. NEXT: Awaiting delivery."
PO-2025-012,2025-05-18T10:00:00,SUP-013,PART-015,90,88.00,7920.00,pending,,"WHAT: Selected IberiaParts SL. WHY: Approved, price within last_price variance. NEXT: PO dispatched."
PO-2025-013,2025-05-19T13:20:00,SUP-014,PART-016,500,62.00,31000.00,rejected,G2,"WHAT: Attempted BalticComponents OÜ. WHY: Lowest unit price for PART-016. NEXT: G2 fired — not approved. Human rejected, re-routing to SUP-016."
PO-2025-014,2025-05-21T09:10:00,SUP-015,PART-017,40,95.00,3800.00,pending_approval,G3,"WHAT: Selected ViennaMach GmbH. WHY: Only available supplier for PART-017 in window. NEXT: G3 fired — price rose 26.7% (€75→€95), human review required."
PO-2025-015,2025-05-22T14:00:00,SUP-016,PART-018,200,112.00,22400.00,pending_approval,G1,"WHAT: Selected PolyParts AG. WHY: Highest reliability for PART-018 (0.92). NEXT: G1 fired — total €22400 exceeds threshold, awaiting human sign-off."
PO-2025-016,2025-05-23T11:00:00,SUP-017,PART-008,120,49.80,5976.00,delivered,,"WHAT: Selected MidlandFast Ltd. WHY: Competitive price, 2-day delivery, reliability 0.87. NEXT: Delivered ahead of schedule, invoice pending."
PO-2025-017,2025-05-24T08:45:00,SUP-018,PART-019,70,67.25,4707.50,pending,,"WHAT: Selected AdriaSupply. WHY: Only approved supplier covering PART-019 in this window. NEXT: PO raised, delivery in 4 days."
